"Date","Price","Open","High","Low","Vol","Change"
"08/20/2023","1,685.23","1,669.68","1,692.40","1,662.80","195.62K","0.93%"
"08/19/2023","1,669.67","1,661.58","1,693.89","1,654.33","232.01K","0.51%"
"08/18/2023","1,661.23","1,680.24","1,698.77","1,646.40","538.08K","-1.21%"
"08/17/2023","1,681.50","1,807.81","1,809.80","1,562.70","812.15K","-6.99%"
"08/16/2023","1,807.81","1,828.63","1,831.52","1,803.50","205.43K","-1.16%"
"08/15/2023","1,828.98","1,845.50","1,847.36","1,816.35","186.08K","-0.90%"
"08/14/2023","1,845.50","1,840.13","1,856.49","1,835.92","150.22K","0.26%"
"08/13/2023","1,840.72","1,849.93","1,861.50","1,835.50","120.67K","-0.50%"
"08/12/2023","1,849.93","1,849.06","1,853.55","1,846.09","63.36K","0.06%"
"08/11/2023","1,848.85","1,852.47","1,857.19","1,840.66","113.22K","-0.20%"
"08/10/2023","1,852.47","1,855.35","1,865.94","1,847.33","127.31K","-0.16%"
"08/09/2023","1,855.35","1,856.31","1,870.44","1,846.76","192.00K","-0.05%"
"08/08/2023","1,856.21","1,829.00","1,871.70","1,826.33","236.28K","1.48%"
"08/07/2023","1,829.10","1,830.29","1,846.43","1,805.18","224.18K","-0.07%"
"08/06/2023","1,830.29","1,836.48","1,838.09","1,826.08","90.40K","-0.34%"
"08/05/2023","1,836.48","1,829.91","1,838.61","1,827.50","93.65K","0.34%"
"08/04/2023","1,830.23","1,837.00","1,849.09","1,819.68","187.72K","-0.31%"
"08/03/2023","1,835.97","1,839.73","1,858.60","1,828.38","171.35K","-0.23%"
"08/02/2023","1,840.21","1,875.20","1,879.30","1,823.00","254.81K","-1.81%"
"08/01/2023","1,874.22","1,856.14","1,874.99","1,818.15","358.36K","0.97%"
"07/31/2023","1,856.14","1,861.52","1,876.00","1,851.39","168.22K","-0.30%"
"07/30/2023","1,861.79","1,880.94","1,884.28","1,851.60","158.64K","-0.99%"
"07/29/2023","1,880.46","1,873.59","1,886.23","1,869.71","72.87K","0.33%"
"07/28/2023","1,874.20","1,861.29","1,882.21","1,856.88","138.70K","0.69%"
"07/27/2023","1,861.29","1,872.14","1,885.87","1,855.38","163.81K","-0.57%"
"07/26/2023","1,871.99","1,857.66","1,886.92","1,849.40","272.08K","0.77%"
"07/25/2023","1,857.65","1,849.85","1,867.31","1,845.62","152.26K","0.41%"
"07/24/2023","1,849.99","1,888.66","1,890.77","1,835.01","276.50K","-2.06%"
"07/23/2023","1,888.82","1,866.60","1,903.85","1,858.00","153.64K","1.21%"
"07/22/2023","1,866.21","1,892.07","1,897.00","1,854.01","131.88K","-1.35%"
"07/21/2023","1,891.74","1,891.52","1,905.60","1,884.86","165.56K","0.01%"
"07/20/2023","1,891.60","1,888.20","1,928.27","1,879.34","292.92K","0.16%"
"07/19/2023","1,888.64","1,897.63","1,920.41","1,882.17","218.03K","-0.47%"
"07/18/2023","1,897.56","1,912.06","1,917.18","1,877.29","215.73K","-0.71%"
"07/17/2023","1,911.21","1,921.18","1,936.00","1,876.05","277.21K","-0.58%"
"07/16/2023","1,922.43","1,931.12","1,942.53","1,918.01","148.63K","-0.47%"
"07/15/2023","1,931.42","1,937.82","1,946.05","1,926.79","135.19K","-0.34%"
"07/14/2023","1,938.03","2,005.04","2,025.44","1,900.19","498.88K","-3.33%"
